Date	File Name	Objective Info	Z Slices	Ch1 Exposure	Ch2 Exposure	Binning	Sensor Width	Sensor Height	FileSizeGB
27-May-2024 14:34:00	ms5b_btm_iii_2_metadata	Confocal 40um	1	25	25	1x1	2046	2046	0.008372272
27-May-2024 14:23:15	ms5b_btm_iii_metadata	Confocal 40um	1	25	20	1x1	2046	2046	0.008372272
27-May-2024 14:45:21	ms5b_btm_iv_1_metadata	60x 1.2NA water objective	189	200	25	1x1	2046	2046	0.008372272
27-May-2024 16:56:45	ms5b_btm_v_1_metadata	60x 1.2NA water objective	97	25	25	1x1	2046	2046	0.008372272
11-Aug-2024 12:46:14	ms7e_i_20x_1_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.008380456
11-Aug-2024 12:46:25	ms7e_i_20x_2_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:48:55	ms7e_i_20x_3_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:49:08	ms7e_i_20x_4_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:49:17	ms7e_i_20x_5_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:50:48	ms7e_i_20x_6_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:51:30	ms7e_i_20x_7_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:49:58	ms7e_i_20x_agarose_1_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:50:03	ms7e_i_20x_agarose_2_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:49:42	ms7e_i_20x_agarose_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.006285352
11-Aug-2024 12:45:58	ms7e_i_20x_metadata	Confocal 40um	1	100	200	1x1	2048	2046	0.008380456
11-Aug-2024 13:06:13	ms7e_iii_20x_2_metadata	60x 1.2NA water objective	1099	200	100	1x1	2048	2046	0.006285352
11-Aug-2024 13:59:43	ms7e_iv_20x_metadata	60x 1.2NA water objective	1225	200	100	1x1	2048	2046	0.006285352
24-Aug-2024 08:43:16	ms8B_LO2_i_metadata	Confocal 40um	1	200	200	1x1	2048	2046	0.006285352
24-Aug-2024 08:51:53	ms8B_LO2_ii_1_metadata	60x 1.2NA water objective	1751	400	100	1x1	2048	2046	0.006285352
25-Aug-2024 09:57:24	ms8B_LO_iii_2_metadata	60x 1.2NA water objective	1835	15	100	1x1	2048	2046	0.006285352
08-May-2024 11:18:06	ms8ai_12_metadata	60x 1.2NA water objective	123	280	100	3x3	682	682	0.000697728
08-May-2024 13:03:44	ms8ai_15_metadata	60x 1.2NA water objective	5	280	100	3x3	682	682	0.000697728
08-May-2024 13:33:02	ms8ai_17_metadata	60x 1.2NA water objective	391	280	200	1x1	2046	2046	0.006279216
08-May-2024 18:58:29	ms8ai_19_metadata	Confocal 40um	1	450	70	1x1	2046	2046	0.006279216
08-May-2024 08:57:57	ms8ai_1_metadata	60x 1.2NA water objective	5	280	100	3x3	682	682	0.000697728
08-May-2024 14:52:20	ms8ai_20_metadata	60x 1.2NA water objective	391	280	200	1x1	2046	2046	0.006279216
08-May-2024 19:04:09	ms8ai_21_metadata	Confocal 40um	5	206	70	1x1	2046	2046	0.006279216
08-May-2024 09:25:47	ms8ai_3_metadata	60x 1.2NA water objective	7	280	100	3x3	682	682	0.000697728
08-May-2024 10:01:44	ms8ai_4_metadata	60x 1.2NA water objective	7	280	100	3x3	682	682	0.000697728
08-May-2024 10:18:48	ms8ai_6_metadata	60x 1.2NA water objective	13	280	100	3x3	682	682	0.000697728
08-May-2024 10:51:42	ms8ai_7_metadata	60x 1.2NA water objective	13	280	100	3x3	682	682	0.000697728
